anime_id,name,genre,type,rating,members
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Manga,9.37,200630
15335,Gintama Manga: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Manga,9.1,72534
28851,Koe no Katachi,"Drama, School, Shounen",Manga,9.05,102733
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Manga,8.93,466254
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Manga,8.84,226193
164,Mononoke Hime,"Action, Adventure, Fantasy",Manga,8.81,339556
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Manga,8.81,240297
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Manga,8.75,32266
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Manga,8.74,333186
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Manga,8.73,34347
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Manga,8.68,111074
4565,Tengen Toppa Gurren Lagann Manga: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Manga,8.64,82253
11577,Steins;Gate Manga: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Manga,8.61,192424
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Manga,8.61,197439
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Manga,8.6,11104
7472,Gintama Manga: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Manga,8.59,51185
28805,Bakemono no Ko,"Adventure, Supernatural",Manga,8.58,80825
578,Hotaru no Haka,"Drama, Historical",Manga,8.58,174878
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Manga,8.57,95658
18617,Girls und Panzer der Film,"Military, School",Manga,8.55,25641
30346,Doukyuusei (Manga),"Romance, School, Shounen Ai, Slice of Life",Manga,8.53,28864
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Manga,8.53,182224
11981,Mahou Shoujo Madoka★Magica Manga 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Manga,8.5,135735
11979,Mahou Shoujo Madoka★Magica Manga 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Manga,8.49,85361
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Manga,8.48,271484
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Manga,8.47,143273
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Manga,8.45,99579
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Manga,8.45,215630
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Manga,8.44,289206
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Manga,8.43,125503
1365,Detective Conan Manga 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Manga,8.42,28462
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Manga,8.42,85020
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Manga,8.4,137636
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Manga,8.39,76051
5460,Detective Conan Manga 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Manga,8.38,21798
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Manga,8.38,151061
16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Manga,8.37,45547
16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Manga,8.35,189741
28675,Kyoukai no Kanata Manga: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Manga,8.35,59815
21557,Omoide no Marnie,"Drama, Mystery, Psychological",Manga,8.35,53590
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Manga,8.34,223036
9617,K-On! Manga,"Comedy, Music, Slice of Life",Manga,8.34,115252
10153,Mahou Shoujo Lyrical Nanoha: The Manga 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Manga,8.34,13315
1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Manga,8.34,58492
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Manga,8.33,65594
6675,Redline,"Action, Cars, Sci-Fi, Sports",Manga,8.33,109392
32005,Detective Conan Manga 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Manga,8.32,6229
28725,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Manga,8.32,59652
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Manga,8.32,94435
31490,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Manga,8.32,18642
759,Tokyo Godfathers,"Comedy, Drama",Manga,8.32,89424
11977,Mahou Shoujo Madoka★Magica Manga 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Manga,8.31,88164
5681,Summer Wars,"Comedy, Sci-Fi",Manga,8.3,223359
6467,Detective Conan Manga 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Manga,8.29,20602
372,Cardcaptor Sakura Manga 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Manga,8.28,60637
512,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Manga,8.27,152331
5365,Tsumiki no Ie,Drama,Manga,8.27,45189
7465,Eve no Jikan (Manga),"Sci-Fi, Slice of Life",Manga,8.26,66376
1364,Detective Conan Manga 05: Countdown to Heaven,"Adventure, Comedy, Mystery, Police, Shounen",Manga,8.25,25432
16662,Kaze Tachinu,"Drama, Historical, Romance",Manga,8.24,75359
1367,Detective Conan Manga 08: Magician of the Silver Sky,"Adventure, Comedy, Mystery, Police, Shounen",Manga,8.23,23130
437,Perfect Blue,"Dementia, Drama, Horror, Psychological",Manga,8.23,117565
12477,Sakasama no Patema,"Sci-Fi, Seinen",Manga,8.23,89749
4107,Tengen Toppa Gurren Lagann Manga: Gurren-hen,"Action, Comedy, Mecha",Manga,8.22,72933
1506,Detective Conan Manga 10: Requiem of the Detectives,"Adventure, Comedy, Mystery, Police, Shounen",Manga,8.21,21789
2759,Evangelion: 1.0 You Are (Not) Alone,"Action, Mecha, Sci-Fi",Manga,8.21,194561
